epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.405864	0.788750	0.940000	0.950000	0.990167	0.993333	0.989362	0.930000	0.958763	0.143264
2	0.081224	0.970000	0.975000	0.973333	0.995200	0.993333	0.989865	0.976667	0.983221	0.086837
3	0.035068	0.988437	0.975000	0.980000	0.997733	1.000000	0.996575	0.970000	0.983108	0.060618
4	0.043020	0.985625	0.970000	0.976667	0.998867	0.996667	0.996552	0.963333	0.979661	0.065302
5	0.032846	0.988750	0.987500	0.988333	0.999500	1.000000	0.996633	0.986667	0.991625	0.029426
6	0.010181	0.996875	0.997500	0.998333	0.999933	1.000000	1.000000	0.996667	0.998331	0.013029
7	0.019513	0.993437	0.992500	0.995000	0.999733	1.000000	1.000000	0.990000	0.994975	0.026168
8	0.008604	0.997812	0.990000	0.990000	0.999767	1.000000	0.996644	0.990000	0.993311	0.023065
9	0.007166	0.997812	0.997500	0.998333	0.999867	1.000000	1.000000	0.996667	0.998331	0.018280
10	0.009414	0.997188	0.995000	0.993333	0.999967	1.000000	0.996667	0.996667	0.996667	0.008733
11	0.007491	0.996563	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.008988
12	0.002070	1.000000	0.997500	0.998333	0.999967	1.000000	1.000000	0.996667	0.998331	0.009834
13	0.003545	0.998437	0.995000	0.996667	0.999933	1.000000	1.000000	0.993333	0.996656	0.012372
14	0.002290	0.999062	0.995000	0.996667	0.999933	1.000000	1.000000	0.993333	0.996656	0.013998
15	0.001224	1.000000	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.012479
16	0.003675	0.998750	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.011084
17	0.002190	0.999687	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.011638
18	0.002161	0.999375	0.997500	0.998333	0.999933	1.000000	1.000000	0.996667	0.998331	0.010906
19	0.001394	0.999687	0.997500	0.998333	0.999933	1.000000	1.000000	0.996667	0.998331	0.012063
20	0.001837	0.999687	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.012218
21	0.001960	0.999375	0.997500	0.998333	0.999933	1.000000	1.000000	0.996667	0.998331	0.011631
22	0.002586	0.999375	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.012430
23	0.001227	0.999687	0.995000	0.996667	0.999900	1.000000	1.000000	0.993333	0.996656	0.013764
24	0.001246	1.000000	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.010956
25	0.002321	0.998750	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.012784
26	0.002255	0.999375	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.011647
27	0.001489	0.999687	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.010227
28	0.002349	0.999375	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.011905
29	0.001538	0.999687	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.011347
30	0.002101	0.999062	0.997500	0.998333	0.999933	1.000000	1.000000	0.996667	0.998331	0.011729
31	0.002500	0.998437	0.997500	0.998333	0.999933	1.000000	1.000000	0.996667	0.998331	0.011953
32	0.001212	0.999687	0.997500	0.998333	0.999933	1.000000	1.000000	0.996667	0.998331	0.012268
33	0.000781	0.999687	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.012737
34	0.000781	1.000000	0.997500	0.998333	0.999933	1.000000	1.000000	0.996667	0.998331	0.012664
35	0.000642	1.000000	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.011869
36	0.001040	0.999687	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.012874
37	0.004177	0.999062	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.012982
38	0.000549	1.000000	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.011805
39	0.001155	0.999687	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.011008
40	0.001367	0.999687	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.011792
41	0.001693	0.999687	0.997500	0.998333	0.999900	1.000000	1.000000	0.996667	0.998331	0.012005
