epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.075573	0.973750	0.997500	0.998333	0.999933	1.000000	1.000000	0.996667	0.998331	0.010289
2	0.011784	0.997500	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.005007
3	0.006324	0.998750	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.002757
4	0.011286	0.996875	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.008449
5	0.006217	0.998125	0.995000	0.993333	0.999933	1.000000	0.996667	0.996667	0.996667	0.013224
6	0.007917	0.998437	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.004552
7	0.002939	0.999687	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.004060
8	0.005116	0.998437	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.003926
9	0.005986	0.997812	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.006031
10	0.002466	0.999687	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.005120
11	0.001303	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002696
12	0.002646	0.999062	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.005065
13	0.000975	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.006090
14	0.001989	0.999375	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002601
15	0.000698	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.003055
16	0.001135	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002619
17	0.001234	0.999687	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.003068
18	0.000668	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.004478
19	0.001718	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001491
20	0.001060	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.003580
21	0.001013	0.999687	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.004112
22	0.000598	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002316
23	0.000327	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.003258
24	0.000594	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002065
25	0.000527	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.003332
26	0.000607	0.999687	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.001758
27	0.001658	0.999687	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002625
28	0.000760	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001553
29	0.000882	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000956
30	0.000586	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001254
31	0.000461	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001379
32	0.000606	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001271
33	0.001340	0.999687	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002620
34	0.000529	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002771
35	0.000576	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001632
36	0.000908	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.004523
37	0.000287	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001650
38	0.000685	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001335
39	0.000377	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.001915
40	0.000881	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002355
