epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.306143	0.864265	0.936667	0.936667	0.987778	0.980000	0.900204	0.982222	0.939426	0.161584
2	0.133202	0.950382	0.836667	0.836667	0.974716	0.928889	0.977918	0.688889	0.808344	0.510187
3	0.077543	0.972328	0.940000	0.940000	0.986015	0.980000	0.923077	0.960000	0.941176	0.208610
4	0.060459	0.977576	0.915556	0.915556	0.991511	0.988889	0.997340	0.833333	0.907990	0.270414
5	0.044578	0.985687	0.952222	0.952222	0.989847	0.964444	0.967816	0.935556	0.951412	0.132634
6	0.039069	0.986641	0.921111	0.921111	0.994904	0.984444	0.870841	0.988889	0.926119	0.198022
7	0.030455	0.990458	0.935556	0.935556	0.995679	0.993333	0.997462	0.873333	0.931280	0.221377
8	0.024389	0.992128	0.987778	0.987778	0.997442	0.995556	0.993258	0.982222	0.987709	0.060300
9	0.010689	0.996422	0.988889	0.988889	0.998523	0.997778	0.986726	0.991111	0.988914	0.051518
10	0.020314	0.993321	0.987778	0.987778	0.999220	0.997778	0.984547	0.991111	0.987818	0.035525
