epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.335396	0.834375	0.735000	0.823333	0.998867	0.996667	1.000000	0.646667	0.785425	0.583884
2	0.026535	0.992500	0.920000	0.946667	0.999600	1.000000	1.000000	0.893333	0.943662	0.307043
3	0.023926	0.991875	0.990000	0.993333	0.999867	1.000000	1.000000	0.986667	0.993289	0.049964
4	0.006813	0.998125	0.990000	0.980000	1.000000	1.000000	0.986842	1.000000	0.993377	0.026936
5	0.012909	0.994687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001930
6	0.008598	0.997188	0.995000	0.993333	0.999967	1.000000	0.996667	0.996667	0.996667	0.007282
7	0.004321	0.998750	0.995000	0.993333	0.999900	1.000000	0.996667	0.996667	0.996667	0.009293
8	0.001791	0.999687	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.003108
9	0.001482	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001086
10	0.000869	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001258
11	0.000742	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000604
12	0.000875	0.999687	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002284
13	0.001546	0.999375	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000204
14	0.001122	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000383
15	0.000805	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000585
16	0.001380	0.999375	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000259
17	0.000711	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000244
18	0.001110	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000380
19	0.000547	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000305
20	0.000507	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000184
21	0.000479	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000240
22	0.000520	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000344
23	0.000862	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000075
24	0.000672	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000438
25	0.000473	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000303
26	0.001081	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000309
27	0.000584	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000284
28	0.000300	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000232
29	0.000713	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000322
30	0.000508	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000227
31	0.000787	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000204
32	0.000429	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000476
33	0.000387	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000277
34	0.002337	0.999062	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000074
35	0.000634	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000357
36	0.000326	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000651
37	0.000337	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000475
38	0.000414	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000181
39	0.000548	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000282
40	0.000222	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000323
