epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.701080	0.500454	0.361767	0.500111	0.500014	0.099644	0.750187	0.223422	0.344303	0.697117
2	0.694802	0.502096	0.687033	0.500022	0.500012	0.099911	0.750010	0.874044	0.807290	0.699614
3	0.694335	0.500754	0.749867	0.500000	0.499820	0.099733	0.750000	0.999733	0.857045	0.692750
4	0.693167	0.500792	0.750000	0.500000	0.499933	0.099867	0.750000	1.000000	0.857143	0.692261
5	0.693150	0.500371	0.750000	0.500000	0.499933	0.099867	0.750000	1.000000	0.857143	0.692749
6	0.693145	0.500721	0.750000	0.500000	0.499933	0.099867	0.750000	1.000000	0.857143	0.692505
7	0.693154	0.498808	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.694580
8	0.693158	0.498592	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.693237
9	0.693149	0.500271	0.250000	0.500000	0.499933	0.099867	0.000000	0.000000	0.000000	0.693726
