epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.062703	0.977815	0.996667	0.996667	0.999496	0.997778	0.997773	0.995556	0.996663	0.020384
2	0.007306	0.998330	0.995556	0.995556	0.999995	1.000000	1.000000	0.991111	0.995536	0.014611
3	0.007047	0.998092	0.997778	0.997778	0.999793	1.000000	1.000000	0.995556	0.997773	0.013630
4	0.003351	0.999523	0.997778	0.997778	1.000000	1.000000	1.000000	0.995556	0.997773	0.006600
5	0.005146	0.998569	0.996667	0.996667	0.999965	1.000000	1.000000	0.993333	0.996656	0.014093
6	0.003081	0.999284	0.997778	0.997778	0.999975	1.000000	1.000000	0.995556	0.997773	0.008771
7	0.001228	1.000000	0.997778	0.997778	1.000000	1.000000	1.000000	0.995556	0.997773	0.006856
8	0.000688	1.000000	0.997778	0.997778	0.999970	1.000000	1.000000	0.995556	0.997773	0.009956
9	0.000873	1.000000	0.997778	0.997778	0.999995	1.000000	1.000000	0.995556	0.997773	0.010701
10	0.001888	0.999761	0.997778	0.997778	0.999965	1.000000	1.000000	0.995556	0.997773	0.010827
