epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.702241	0.500938	0.263867	0.500222	0.500942	0.100178	0.753041	0.027511	0.053083	0.720949
2	0.694761	0.499604	0.627300	0.499533	0.499508	0.100133	0.749768	0.755067	0.752408	0.689750
3	0.693786	0.502454	0.748833	0.499978	0.500711	0.100356	0.749992	0.997689	0.856287	0.659734
4	0.693636	0.500812	0.284567	0.501800	0.506942	0.103733	0.760161	0.067333	0.123709	0.694740
5	0.693590	0.499121	0.250000	0.500000	0.504761	0.104844	0.000000	0.000000	0.000000	0.713019
6	0.693608	0.497488	0.250000	0.500000	0.509942	0.104267	0.000000	0.000000	0.000000	0.716117
7	0.693523	0.501483	0.528100	0.502422	0.503508	0.103200	0.751644	0.553778	0.637715	0.691748
8	0.693351	0.500646	0.261033	0.500822	0.507825	0.104578	0.764800	0.021244	0.041341	0.703090
9	0.693249	0.502992	0.272367	0.501933	0.514149	0.105733	0.767331	0.042800	0.081078	0.703861
10	0.693220	0.504367	0.744733	0.500533	0.518571	0.105289	0.750202	0.988933	0.853183	0.680827
11	0.693174	0.504654	0.386667	0.509644	0.520666	0.105911	0.763971	0.263689	0.392057	0.693133
12	0.693172	0.504637	0.726200	0.505689	0.526269	0.107067	0.752260	0.946711	0.838358	0.684137
13	0.692993	0.508192	0.726000	0.509867	0.537209	0.108711	0.753948	0.942133	0.837601	0.682237
14	0.692223	0.517779	0.582567	0.528956	0.542722	0.120267	0.767466	0.636178	0.695682	0.687375
15	0.690480	0.530025	0.374800	0.535600	0.573182	0.158844	0.818043	0.214000	0.339252	0.709879
16	0.681816	0.550283	0.551900	0.542333	0.572010	0.222756	0.779382	0.561467	0.652716	0.707593
17	0.663453	0.578971	0.419267	0.587956	0.635090	0.283689	0.909648	0.250578	0.392919	0.700298
18	0.651165	0.592733	0.490800	0.605733	0.659131	0.298933	0.872755	0.375867	0.525443	0.666593
19	0.642301	0.603700	0.492200	0.617689	0.659352	0.332222	0.893352	0.366711	0.519977	0.653359
20	0.632953	0.612629	0.494900	0.619400	0.673388	0.330178	0.894110	0.370400	0.523805	0.653785
21	0.628669	0.617071	0.517233	0.625133	0.677594	0.341200	0.885322	0.409333	0.559827	0.645434
22	0.625878	0.620767	0.526833	0.629311	0.679362	0.349022	0.884811	0.424356	0.573608	0.629180
23	0.624012	0.621233	0.539567	0.619133	0.671686	0.336267	0.861567	0.460000	0.599774	0.625358
24	0.621353	0.625179	0.527900	0.628689	0.683757	0.347422	0.883029	0.427111	0.575742	0.627545
25	0.618503	0.627554	0.495667	0.632356	0.687601	0.365733	0.919513	0.358978	0.516366	0.653937
26	0.614174	0.631517	0.520300	0.636289	0.691634	0.368000	0.902033	0.404311	0.558355	0.632814
27	0.612929	0.632471	0.562000	0.636222	0.692813	0.362978	0.871724	0.487778	0.625534	0.610420
28	0.611304	0.633404	0.534367	0.636733	0.692812	0.367956	0.891007	0.432000	0.581879	0.622550
29	0.609305	0.636363	0.556633	0.634556	0.690982	0.360756	0.872640	0.478711	0.618259	0.607307
30	0.608948	0.635992	0.532200	0.635644	0.694266	0.369689	0.890931	0.428756	0.578913	0.633709
