epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.039380	0.983540	0.994444	0.994444	0.999911	1.000000	1.000000	0.988889	0.994413	0.014054
2	0.013764	0.995229	0.996667	0.996667	0.999965	1.000000	1.000000	0.993333	0.996656	0.010055
3	0.004248	0.998330	0.981111	0.981111	0.999486	0.997778	0.967603	0.995556	0.981380	0.062433
4	0.004181	0.998807	0.997778	0.997778	0.999956	1.000000	1.000000	0.995556	0.997773	0.015953
5	0.000291	1.000000	0.997778	0.997778	0.999995	1.000000	1.000000	0.995556	0.997773	0.011141
6	0.000180	1.000000	0.997778	0.997778	0.999990	1.000000	1.000000	0.995556	0.997773	0.008202
7	0.005962	0.998807	0.991111	0.991111	0.999575	0.997778	0.997748	0.984444	0.991051	0.038425
8	0.006913	0.998330	0.997778	0.997778	0.999807	1.000000	1.000000	0.995556	0.997773	0.012118
9	0.001018	0.999523	0.997778	0.997778	0.999975	1.000000	1.000000	0.995556	0.997773	0.009395
10	0.000848	0.999523	0.997778	0.997778	0.999960	1.000000	1.000000	0.995556	0.997773	0.010058
