epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.205025	0.906042	0.988333	0.988333	1.000000	1.000000	1.000000	0.976667	0.988196	0.032750
2	0.024150	0.992500	0.998333	0.998333	0.999600	0.996667	1.000000	0.996667	0.998331	0.014235
3	0.011596	0.996042	0.996667	0.996667	1.000000	1.000000	1.000000	0.993333	0.996656	0.011082
4	0.007802	0.997292	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001460
5	0.007622	0.997500	0.985000	0.985000	0.999944	1.000000	0.970874	1.000000	0.985222	0.036353
6	0.003610	0.998958	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000592
7	0.002499	0.999375	0.990000	0.990000	1.000000	1.000000	1.000000	0.980000	0.989899	0.034237
8	0.008410	0.997500	0.991667	0.991667	1.000000	1.000000	0.983607	1.000000	0.991736	0.017019
9	0.006441	0.997708	0.998333	0.998333	1.000000	1.000000	0.996678	1.000000	0.998336	0.002565
10	0.001230	0.999583	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000585
