epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.306664	0.846250	0.953333	0.953333	0.997600	0.996667	0.992754	0.913333	0.951389	0.115812
2	0.052894	0.983125	0.995000	0.995000	0.999922	1.000000	0.996656	0.993333	0.994992	0.015370
3	0.050578	0.981667	0.996667	0.996667	1.000000	1.000000	1.000000	0.993333	0.996656	0.012109
4	0.022668	0.991458	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.005395
5	0.022493	0.992500	0.993333	0.993333	0.999922	1.000000	1.000000	0.986667	0.993289	0.016955
6	0.013469	0.995208	0.996667	0.996667	0.999989	1.000000	0.996667	0.996667	0.996667	0.006730
7	0.011770	0.995208	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.002264
8	0.004540	0.999167	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000911
9	0.002594	0.999167	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000919
