Detector,SteganoGAN-Dense,Edge-UNet,Edge-ASPP
XuNet,0.997091,0.613253,0.999677
YeNet,0.996539,0.993752,0.993922
YedroudjNet,0.991191,0.992530,0.975497
SRNet,0.997167,0.997898,0.996614
EfficientNetSteg,0.978184,0.915857,0.713363
