Detector,SteganoGAN-Dense,Edge-UNet,Edge-ASPP
XuNet,0.951784,0.664430,0.952336
YeNet,0.993514,0.993228,0.993056
YedroudjNet,0.968367,0.968750,0.964692
SRNet,0.997919,0.997980,0.997884
EfficientNetSteg,1.000000,1.000000,1.000000
