Detector,SteganoGAN-Dense,Edge-UNet,Edge-ASPP
XuNet,0.989000,0.135000,0.999000
YeNet,0.998000,0.986000,0.989000
YedroudjNet,0.981000,0.981000,0.943000
SRNet,0.995000,0.997000,0.996000
EfficientNetSteg,0.936000,0.710000,0.281000
