Detector,SteganoGAN-Dense,Edge-UNet,Edge-ASPP
XuNet,0.987000,0.099000,0.999000
YeNet,0.919000,0.880000,0.858000
YedroudjNet,0.949000,0.961000,0.847000
SRNet,0.959000,0.988000,0.943000
EfficientNetSteg,0.289000,0.061000,0.006000
