Detector,SteganoGAN-Dense,Edge-UNet,Edge-ASPP
XuNet,0.968500,0.524500,0.974500
YeNet,0.956500,0.937000,0.926000
YedroudjNet,0.959000,0.965000,0.908000
SRNet,0.978500,0.993000,0.970500
EfficientNetSteg,0.644500,0.530500,0.503000
