epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.069193	0.971250	0.982500	0.988333	0.998367	0.996667	1.000000	0.976667	0.988196	0.089828
2	0.007682	0.997500	0.995000	0.996667	0.999967	1.000000	1.000000	0.993333	0.996656	0.019038
3	0.005488	0.998750	0.990000	0.993333	0.997433	0.996667	1.000000	0.986667	0.993289	0.061492
4	0.001488	1.000000	0.995000	0.996667	1.000000	1.000000	1.000000	0.993333	0.996656	0.004953
5	0.002134	0.999062	0.990000	0.993333	1.000000	1.000000	1.000000	0.986667	0.993289	0.020392
6	0.005597	0.997188	0.990000	0.993333	0.999833	1.000000	1.000000	0.986667	0.993289	0.045768
7	0.010114	0.997500	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.006277
8	0.001474	0.999687	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.003068
9	0.000303	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.005111
10	0.000570	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001662
11	0.000241	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002726
12	0.000661	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001425
13	0.002088	0.999062	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.008399
14	0.000181	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.005115
15	0.000167	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.004637
16	0.000536	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002535
17	0.000202	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.003402
18	0.000547	1.000000	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.002439
19	0.000287	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001364
20	0.000260	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001549
21	0.000611	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000629
22	0.000182	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001066
23	0.000140	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000782
24	0.000177	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001052
25	0.000271	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000984
26	0.000220	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001218
27	0.000197	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.001255
28	0.000192	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000791
29	0.000174	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000833
30	0.000485	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000730
