epoch	train_loss	train_acc	accuracy	balanced_accuracy	auc_roc	tpr_at_fpr10	precision	recall	f1	val_loss
1	0.382261	0.831250	0.937500	0.898333	0.964967	0.966667	0.942122	0.976667	0.959083	0.207161
2	0.167536	0.932500	0.927500	0.858333	0.988067	0.956667	0.914373	0.996667	0.953748	0.174492
3	0.095484	0.964375	0.985000	0.980000	0.998833	0.996667	0.990000	0.990000	0.990000	0.053292
4	0.066905	0.975625	0.910000	0.940000	0.997800	0.996667	1.000000	0.880000	0.936170	0.222611
5	0.120868	0.955000	0.930000	0.950000	0.994467	0.983333	0.996350	0.910000	0.951220	0.203017
6	0.053008	0.985000	0.900000	0.930000	0.994200	0.980000	0.996183	0.870000	0.928826	0.302371
7	0.047245	0.984062	0.932500	0.875000	0.992000	0.990000	0.925234	0.990000	0.956522	0.182726
8	0.036171	0.985313	0.797500	0.865000	0.982700	0.930000	1.000000	0.730000	0.843931	0.835372
9	0.038083	0.984688	0.985000	0.980000	0.998400	0.990000	0.990000	0.990000	0.990000	0.039746
10	0.020347	0.993437	0.985000	0.983333	0.998867	0.996667	0.993289	0.986667	0.989967	0.037504
11	0.024570	0.992188	0.990000	0.993333	0.999500	1.000000	1.000000	0.986667	0.993289	0.029373
12	0.029347	0.989688	0.987500	0.991667	0.999100	0.996667	1.000000	0.983333	0.991597	0.038071
13	0.022189	0.993125	0.977500	0.985000	0.999133	0.996667	1.000000	0.970000	0.984772	0.065466
14	0.018234	0.993750	0.997500	0.995000	1.000000	1.000000	0.996678	1.000000	0.998336	0.007721
15	0.017429	0.994687	0.997500	0.998333	0.999967	1.000000	1.000000	0.996667	0.998331	0.010381
16	0.009937	0.997188	0.995000	0.996667	0.999967	1.000000	1.000000	0.993333	0.996656	0.012781
17	0.006126	0.998437	0.995000	0.996667	1.000000	1.000000	1.000000	0.993333	0.996656	0.012460
18	0.006855	0.997812	0.995000	0.996667	0.999667	1.000000	1.000000	0.993333	0.996656	0.017245
19	0.010746	0.996563	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.008749
20	0.007851	0.996875	0.992500	0.995000	1.000000	1.000000	1.000000	0.990000	0.994975	0.009802
21	0.004809	0.999062	0.992500	0.995000	1.000000	1.000000	1.000000	0.990000	0.994975	0.011479
22	0.003501	0.999687	0.995000	0.996667	1.000000	1.000000	1.000000	0.993333	0.996656	0.010702
23	0.003920	0.998750	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.004800
24	0.002974	0.999375	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.007070
25	0.002469	0.999687	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.006214
26	0.004621	0.998437	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.004469
27	0.003493	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.003864
28	0.001765	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.003861
29	0.002240	0.999062	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.004493
30	0.002920	0.998750	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.005550
31	0.002502	0.999375	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.004052
32	0.001453	0.999687	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.006412
33	0.001741	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.003951
34	0.003923	0.998437	0.997500	0.998333	1.000000	1.000000	1.000000	0.996667	0.998331	0.004916
35	0.002054	0.999062	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.004365
36	0.002345	0.999375	0.997500	0.995000	1.000000	1.000000	0.996678	1.000000	0.998336	0.004283
37	0.002934	0.999062	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.004027
38	0.001040	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.003572
39	0.002894	0.999062	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.004077
40	0.001199	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.004177
41	0.001678	0.999687	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.003463
